customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
2956,0,0,0,1,21,1,0,0,2,0,2,0,0,2,1,0,3,64.85,1336.8
4287,0,0,0,0,54,1,2,1,0,2,0,0,2,2,2,1,0,97.2,5129.45
2674,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,23.45,23.45
1756,1,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.2,237.95
1906,1,0,0,1,0,1,2,0,2,2,0,2,0,0,2,1,0,61.9,0.0
2997,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,1,2,69.55,521.35
3238,1,0,1,1,32,1,0,2,1,1,1,1,1,1,2,0,3,18.95,613.95
1784,1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,1,1,19.8,1414.65
3698,1,0,0,0,19,0,1,0,0,0,2,0,2,0,0,1,2,39.65,733.35
128,1,0,0,1,10,1,0,2,1,1,1,1,1,1,1,1,0,19.95,219.5
2373,1,1,1,0,21,1,0,1,0,0,0,0,0,0,0,1,2,69.1,1474.75
1202,0,1,0,0,45,1,2,0,2,0,0,2,0,2,0,1,2,70.05,3062.45
4189,1,1,0,0,32,1,0,2,1,1,1,1,1,1,1,0,1,19.8,587.7
2710,0,0,1,0,40,1,2,1,2,0,2,0,2,2,1,0,0,105.75,4228.55
3415,0,0,0,0,47,0,1,0,2,0,2,2,0,0,2,0,3,41.9,1875.25
1903,0,0,0,0,36,0,1,0,2,2,2,2,0,2,2,1,3,53.1,1901.25
744,0,0,1,1,69,1,2,1,2,2,2,2,2,0,1,1,1,105.1,7234.8
6662,0,0,1,0,71,1,0,0,0,2,2,2,2,2,2,1,1,80.7,5705.05
3183,0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,1,0,24.65,1710.15
5910,1,0,1,0,35,0,1,0,2,0,2,0,2,2,1,0,1,53.15,1930.9
6528,1,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,3,54.65,189.1
